 ALLOGENEIC BONE MARROW TRANSPLANT,14,DRG,,,,,,,INPATIENT,,,807583.2,323033.28,LIFESOURCE,LIFESOURCE COMM,Commercial,305340,,DRG GROUPER,,,,0,368643.54,3872876.38,OTHER,DRG GROUPER,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95937 TESTING OF NERVE-MUSCLE JUNCTION,95937,HCPCS,922,RC,9220031,CDM,,,OUTPATIENT,,,350,140,ADVHEALTH,STATE OF MS BLUE CROSS,,273.32,,APC,,,,0,116.17,350,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95938 PLACEMENT OF SKIN ELECTRODES  OF STIMULATED SITES ON ARMS AND LEGS,95938,HCPCS,922,RC,7400019,CDM,,,OUTPATIENT,,,1250,500,MPCN,MS PHYSICIAN CARE NETWORK,,1250,,APC,,,,0,416.47,1938.31,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95939 PLACEMENT OF SKIN   OF CENTRAL MOTOR STIMULATION IN ARMS AND LEGS,95939,HCPCS,922,RC,7400020,CDM,,,OUTPATIENT,,,2350,940,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,1997.5,85,PERCENT OF BILLED CHARGES,,,,0,775.32,2350,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95941 CONTINUOUS REMOTE MONITORING OF NERVOUS SYSTEM DURING OPERATION,95941,HCPCS,740,RC,7400022,CDM,,,OUTPATIENT,,,1000,400,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,550,55,PERCENT OF BILLED CHARGES,,,,0,400,900,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95954 MEASUREMENT OF BRAIN WAVE ACTIVITY (EEG) WITH DRUG OR ACTIVITY STIMULATION,95954,HCPCS,740,RC,7400015,CDM,,,OUTPATIENT,,,1000,400,AETNA,AETNA,,850,85,PERCENT OF BILLED CHARGES,,,,0,336.91,1000,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95954 MEASUREMENT OF BRAIN WAVE ACTIVITY (EEG) WITH DRUG OR ACTIVITY STIMULATION,95954,HCPCS,740,RC,7400015,CDM,,,OUTPATIENT,,,1000,400,MEDADV_HUMANA,HUMANA MEDICARE ADVANTAGE,,350.39,,APC,,,,0,336.91,1000,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95954 MEASUREMENT OF BRAIN WAVE ACTIVITY (EEG) WITH DRUG OR ACTIVITY STIMULATION,95954,HCPCS,740,RC,7400015,CDM,,,OUTPATIENT,,,1000,400,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,724.36,,APC,,,,0,336.91,1000,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95955 MEASUREMENT OF BRAIN WAVE ACTIVITY (EEG) OUTSIDE THE BRAIN DURING SURGERY,95955,HCPCS,740,RC,7400016,CDM,,,OUTPATIENT,,,1108,443.2,FIRSTHEALTH,FIRST HEALTH NETWORK,,886.4,80,PERCENT OF BILLED CHARGES,,,,0,443.2,997.2,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95958 MEASUREMENT OF BRAIN WAVE ACTIVITY (EEG) IN SPECIFIC AREA OF BRAIN,95958,HCPCS,740,RC,7400017,CDM,,,OUTPATIENT,,,2000,800,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,1666.94,,APC,,,,0,775.32,2000,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95961 MEASUREMENT OF BRAIN WAVE ACTIVITY  EEG  WITH  ON BRAIN TO PROVOKE,95961,HCPCS,740,RC,7400018,CDM,,,OUTPATIENT,,,2000,800,CIGNA,CIGNA COMMERCIAL,,1160,58,PERCENT OF BILLED CHARGES,,,,0,775.32,2000,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95961 MEASUREMENT OF BRAIN WAVE ACTIVITY  EEG  WITH  ON BRAIN TO PROVOKE,95961,HCPCS,740,RC,7400018,CDM,,,OUTPATIENT,,,2000,800,TRICARE,TRICARE,,775.32,,APC,,,,0,775.32,2000,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95970 ELECTRONIC ANALYSIS OF IMPLANTED BRAIN,95970,HCPCS,920,RC,9200039,CDM,,,OUTPATIENT,,,250,100,MAGNOLIA-CHIP,MAGNOLIA CHILDRENS HEALTH INSURANCE (CHIP),,221.02,,FEE SCHEDULE,,,,0,101.18,300.31,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95970 ELECTRONIC ANALYSIS OF IMPLANTED BRAIN,95970,HCPCS,920,RC,9200039,CDM,,,OUTPATIENT,,,250,100,MPCN,MS PHYSICIAN CARE NETWORK,,250,,APC,,,,0,101.18,300.31,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95970 ELECTRONIC ANALYSIS OF IMPLANTED BRAIN,95970,HCPCS,920,RC,9200039,CDM,,,OUTPATIENT,,,250,100,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,250,,APC,,,,0,101.18,300.31,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95970 ELECTRONIC ANALYSIS OF IMPLANTED BRAIN,95970,HCPCS,920,RC,9200039,CDM,,,OUTPATIENT,,,250,100,UNITED-OPTIONS,UNITED HEALTHCARE- OPTIONS PLAN,,187.75,75.1,PERCENT OF BILLED CHARGES,,,,0,101.18,300.31,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95971 ELECTRONIC ANALYSIS OF IMPLANTED NEUROSTIMULATOR GENERATOR   SPINAL,95971,HCPCS,920,RC,7610567,CDM,,,OUTPATIENT,,,200,80,FIRSTHEALTH,FIRST HEALTH NETWORK,,160,80,PERCENT OF BILLED CHARGES,,,,0,72.05,214.59,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95971 ELECTRONIC ANALYSIS OF IMPLANTED NEUROSTIMULATOR GENERATOR   SPINAL,95971,HCPCS,920,RC,7610567,CDM,,,OUTPATIENT,,,200,80,MS-CAN-MOLINA,MSCAN MOLINA,,72.05,,FEE SCHEDULE,,,,0,72.05,214.59,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95971 ELECTRONIC ANALYSIS OF IMPLANTED NEUROSTIMULATOR GENERATOR   SPINAL,95971,HCPCS,920,RC,7610567,CDM,,,OUTPATIENT,,,200,80,TRUECARE-CHIP,TRUECARE CHIP,,157.39,,FEE SCHEDULE,,,,0,72.05,214.59,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95972 ELECTRONIC ANALYSIS OF IMPLANTED NEUROSTIMULATOR,95972,HCPCS,761,RC,7610512,CDM,,,OUTPATIENT,,,200,80,MS-CAN-TRUECARE,MSCAN TRUECARE,,73.45,,FEE SCHEDULE,,,,0,72.05,214.59,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95976 ELECTRONIC ANALYSIS OF NEUROSTIMULATOR GENERATOR   CRANIAL  STIM,95976,HCPCS,920,RC,9200040,CDM,,,OUTPATIENT,,,95,38,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,84.24,,APC,,,,0,29.27,95,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95976 ELECTRONIC ANALYSIS OF NEUROSTIMULATOR GENERATOR   CRANIAL  STIM,95976,HCPCS,920,RC,9200040,CDM,,,OUTPATIENT,,,95,38,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,84.24,,APC,,,,0,29.27,95,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95976 ELECTRONIC ANALYSIS OF NEUROSTIMULATOR GENERATOR   CRANIAL  STIM,95976,HCPCS,920,RC,9200040,CDM,,,OUTPATIENT,,,95,38,MS-CAN-MOLINA,MSCAN MOLINA,,29.27,,FEE SCHEDULE,,,,0,29.27,95,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95977 ELECTRONIC ANALYSIS OF IMPLANTED NEUROSTIMULATOR GENERATOR WITH COMPLEX,95977,HCPCS,920,RC,9200041,CDM,,,OUTPATIENT,,,260,104,MEDADV_UHC,UNITED HEALTHCARE MEDICARE ADVANTAGE,,88.41,,APC,89.19,19.206,159.174,1 THROUGH 10,72.05,260,OTHER,APC,
95977 ELECTRONIC ANALYSIS OF IMPLANTED NEUROSTIMULATOR GENERATOR WITH COMPLEX,95977,HCPCS,920,RC,9200041,CDM,,,OUTPATIENT,,,260,104,MEDADV_UHCDSNP,UNITED MEDICARE ADV DUAL SPECIAL NEEDS (DSNP),,88.41,,APC,,,,0,72.05,260,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95977 ELECTRONIC ANALYSIS OF IMPLANTED NEUROSTIMULATOR GENERATOR WITH COMPLEX,95977,HCPCS,920,RC,9200041,CDM,,,OUTPATIENT,,,260,104,UNITED-OPTIONS,UNITED HEALTHCARE- OPTIONS PLAN,,195.26,75.1,PERCENT OF BILLED CHARGES,,,,0,72.05,260,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95991 MAINTENANCE OF SPINAL CANAL OR BRAIN DRUG INFUSION PUMP BY HEALTH CARE,95991,HCPCS,940,RC,9400005,CDM,,,OUTPATIENT,,,660,264,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,692.84,,APC,,,,0,231.7,692.84,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96127 ASSESSMENT OF EMOTIONAL OR BEHAVIORAL PROBLEMS,96127,HCPCS,918,RC,5100067,CDM,,,OUTPATIENT,,,75,30,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,58.5,78,PERCENT OF BILLED CHARGES,,,,0,33.72,84.31,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96127 ASSESSMENT OF EMOTIONAL OR BEHAVIORAL PROBLEMS,96127,HCPCS,918,RC,5100067,CDM,,,OUTPATIENT,,,75,30,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,75,,APC,,,,0,33.72,84.31,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96127 ASSESSMENT OF EMOTIONAL OR BEHAVIORAL PROBLEMS,96127,HCPCS,918,RC,5100067,CDM,,,OUTPATIENT,,,75,30,WELLCARE,WELLCARE MEDICARE ADVANTAGE,,34.73,,APC,,,,0,33.72,84.31,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96360 INFUSION INTO A VEIN FOR HYDRATION,96360,HCPCS,260,RC,2600001,CDM,,,OUTPATIENT,,,528,211.2,TRUECARE-CHIP,TRUECARE CHIP,,361.24,,FEE SCHEDULE,263.09,166.76,528,28,165.37,528,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,
96361 INFUSION INTO A VEIN FOR HYDRATION,96361,HCPCS,260,RC,2600002,CDM,,,OUTPATIENT,,,100,40,ADVHEALTH,STATE OF MS BLUE CROSS,,85.37,,APC,78.69,53.94,158.924,23,36.21,105.69,OTHER,APC,
96361 INFUSION INTO A VEIN FOR HYDRATION,96361,HCPCS,260,RC,2600002,CDM,,,OUTPATIENT,,,100,40,MS-CAN-MOLINA,MSCAN MOLINA,,36.21,,FEE SCHEDULE,100,63.4,255.068,737,36.21,105.69,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,
96365 INFUSION INTO A VEIN FOR THERAPY,96365,HCPCS,260,RC,2600003,CDM,,,OUTPATIENT,,,500,200,WELLCARE,WELLCARE MEDICARE ADVANTAGE,,197.8,,APC,302.99,302.99,500,713,165.37,500,OTHER,APC,
96368 INFUSION INTO A VEIN FOR THERAPY,96368,HCPCS,260,RC,2600006,CDM,,,OUTPATIENT,,,314,125.6,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,125.6,40,PERCENT OF BILLED CHARGES,314,314,314,1 THROUGH 10,125.6,282.6,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,
96369 INFUSION INTO TISSUE FOR THERAPY OR PREVENTION,96369,HCPCS,260,RC,2600014,CDM,,,OUTPATIENT,,,500,200,MEDADV_PRIMEWELL,PRIMEWELL MEDICARE ADVANTAGE,,197.8,,APC,,,,0,165.37,523,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96369 INFUSION INTO TISSUE FOR THERAPY OR PREVENTION,96369,HCPCS,260,RC,2600014,CDM,,,OUTPATIENT,,,500,200,MS-CAN-MOLINA,MSCAN MOLINA,,165.37,,FEE SCHEDULE,,,,0,165.37,523,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96370 INFUSION INTO TISSUE FOR THERAPY OR PREVENTION,96370,HCPCS,761,RC,4500429,CDM,,,OUTPATIENT,,,100,40,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,100,,APC,,,,0,36.21,105.69,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96370 INFUSION INTO TISSUE FOR THERAPY OR PREVENTION,96370,HCPCS,761,RC,4500429,CDM,,,OUTPATIENT,,,100,40,MEDADV_UHC,UNITED HEALTHCARE MEDICARE ADVANTAGE,,43.55,,APC,,,,0,36.21,105.69,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96370 INFUSION INTO TISSUE FOR THERAPY OR PREVENTION,96370,HCPCS,761,RC,4500429,CDM,,,OUTPATIENT,,,100,40,TRUECARE-CHIP,TRUECARE CHIP,,79.11,,FEE SCHEDULE,,,,0,36.21,105.69,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96371 ESTABLISHMENT OF NEW INFUSION SITE INTO TISSUE WITH PUMP SET UP,96371,HCPCS,260,RC,2600013,CDM,,,OUTPATIENT,,,160,64,TRICARE,TRICARE,,65.01,,APC,,,,0,55.87,162.52,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96372 INJECTION OF DRUG OR SUBSTANCE UNDER SKIN OR INTO MUSCLE,96372,HCPCS,260,RC,2600007,CDM,,,OUTPATIENT,,,173,69.2,MEDICARE,MEDICARE,,65.01,,APC,95.39,1.03,173,3673,55.87,173,OTHER,APC,
96372 INJECTION OF DRUG OR SUBSTANCE UNDER SKIN OR INTO MUSCLE,96372,HCPCS,260,RC,2600007,CDM,,,OUTPATIENT,,,173,69.2,TRICARE,TRICARE,,65.01,,APC,160,95.39,173,63,55.87,173,OTHER,APC,
96379 INJECTION OR INFUSION INTO A VEIN OR ARTERY FOR THERAPY,96379,HCPCS,940,RC,9400003,CDM,,,OUTPATIENT,,,100,40,MS-CAN-MOLINA,MSCAN MOLINA,,36.21,,FEE SCHEDULE,,,,0,36.21,105.69,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96379 INJECTION OR INFUSION INTO A VEIN OR ARTERY FOR THERAPY,96379,HCPCS,940,RC,9400003,CDM,,,OUTPATIENT,,,100,40,TRICARE,TRICARE,,42.28,,APC,,,,0,36.21,105.69,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96401 ADMINISTRATION OF NON-HORMONAL ANTI-NEOPLASTIC CHEMOTHERAPY UNDER,96401,HCPCS,331,RC,3310002,CDM,,,OUTPATIENT,,,300,120,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,234,78,PERCENT OF BILLED CHARGES,,,,0,55.87,270,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
96402 ADMINISTRATION OF HORMONAL ANTI-NEOPLASTIC CHEMOTHERAPY UNDER,96402,HCPCS,331,RC,3310003,CDM,,,OUTPATIENT,,,160,64,MS-CAN-TRUECARE,MSCAN TRUECARE,,56.95,,FEE SCHEDULE,103.05,103.05,143.728,14,55.87,162.52,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,
